station,browse_name,node_class,value_type,value,node_id,path
(root),Objects,Object,,,i=85,Objects
(root),Server,Object,,,i=2253,Objects/Objects
(root),DeviceSet,Object,,,ns=2;i=5001,Objects/Objects
(root),PLC,Object,,,ns=3;s=PLC,Objects/Objects/DeviceSet
(root),DeviceManual,Variable,string,https://support.industry.siemens.com/cs/ww/en/view/84133942,ns=3;s=DeviceManual,Objects/Objects/DeviceSet/PLC
(root),DeviceRevision,Variable,string,6ES7 512-1SM03-0AB0  V04.00.00,ns=3;s=DeviceRevision,Objects/Objects/DeviceSet/PLC
(root),EngineeringRevision,Variable,string,V18.0.1.0,ns=3;s=EngineeringRevision,Objects/Objects/DeviceSet/PLC
(root),HardwareRevision,Variable,string,5,ns=3;s=HardwareRevision,Objects/Objects/DeviceSet/PLC
(root),Manufacturer,Variable,string,"LocalizedText(Locale=None, Text='Siemens AG')",ns=3;s=Manufacturer,Objects/Objects/DeviceSet/PLC
(root),Model,Variable,string,"LocalizedText(Locale=None, Text='CPU 1512SP F-1 PN')",ns=3;s=Model,Objects/Objects/DeviceSet/PLC
(root),OperatingMode,Variable,int,8,ns=3;s=OperatingMode,Objects/Objects/DeviceSet/PLC
(root),OrderNumber,Variable,string,6ES7 512-1SM03-0AB0 ,ns=3;s=OrderNumber,Objects/Objects/DeviceSet/PLC
(root),RevisionCounter,Variable,int,-1,ns=3;s=RevisionCounter,Objects/Objects/DeviceSet/PLC
(root),SerialNumber,Variable,string,S C-T9A0Q1S82025,ns=3;s=SerialNumber,Objects/Objects/DeviceSet/PLC
(root),SoftwareRevision,Variable,string,V04.00.00,ns=3;s=SoftwareRevision,Objects/Objects/DeviceSet/PLC
(root),Icon,Variable,string,b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x000\x00\x00\x000\x08\x06\x00\x00\x00W\x02\xf9\x87\x00\x00\x00\x06bKGD\...,ns=3;i=5201,Objects/Objects/DeviceSet/PLC
(root),Counters,Object,,,ns=3;s=Counters,Objects/Objects/DeviceSet/PLC
(root),DataBlocksGlobal,Object,,,ns=3;s=DataBlocksGlobal,Objects/Objects/DeviceSet/PLC
(root),DataBlocksInstance,Object,,,ns=3;s=DataBlocksInstance,Objects/Objects/DeviceSet/PLC
(root),Inputs,Object,,,ns=3;s=Inputs,Objects/Objects/DeviceSet/PLC
(root),Memory,Object,,,ns=3;s=Memory,Objects/Objects/DeviceSet/PLC
(root),Outputs,Object,,,ns=3;s=Outputs,Objects/Objects/DeviceSet/PLC
(root),Timers,Object,,,ns=3;s=Timers,Objects/Objects/DeviceSet/PLC
(root),Icon,Variable,string,b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00 \x00\x00\x00 \x08\x06\x00\x00\x00szz\xf4\x00\x00\x00\x06bKGD\x00\xf...,ns=3;i=5204,Objects/Objects/DeviceSet/PLC/Counters
(root),Icon,Variable,string,b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00 \x00\x00\x00 \x08\x06\x00\x00\x00szz\xf4\x00\x00\x07\xacIDATx\xda\x...,ns=3;i=5202,Objects/Objects/DeviceSet/PLC/DataBlocksGlobal
(root),Icon,Variable,string,b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00 \x00\x00\x00 \x08\x06\x00\x00\x00szz\xf4\x00\x00\x07\xacIDATx\xda\x...,ns=3;i=5203,Objects/Objects/DeviceSet/PLC/DataBlocksInstance
(root),IX_Set_Park_Position,Variable,bool,False,"ns=3;s=""IX_Set_Park_Position""",Objects/Objects/DeviceSet/PLC/Inputs
(root),IX_Fill_HBW,Variable,bool,False,"ns=3;s=""IX_Fill_HBW""",Objects/Objects/DeviceSet/PLC/Inputs
(root),Auditing,Variable,bool,True,i=2994,Objects/Objects/Server
(root),Dictionaries,Object,,,i=17594,Objects/Objects/Server
(root),GetMonitoredItems,Method,,,i=11492,Objects/Objects/Server
(root),NamespaceArray,Variable,string,"['http://opcfoundation.org/UA/', 'urn:SIMATIC.S7-1500.OPC-UA.Application:PLC', 'http://opcfoundation.org/UA/DI/', 'ht...",i=2255,Objects/Objects/Server
(root),Namespaces,Object,,,i=11715,Objects/Objects/Server
(root),VendorServerInfo,Object,,,i=2295,Objects/Objects/Server
(root),ResendData,Method,,,i=12873,Objects/Objects/Server
(root),ServerArray,Variable,string,['urn:SIMATIC.S7-1500.OPC-UA.Application:PLC'],i=2254,Objects/Objects/Server
(root),ServerCapabilities,Object,,,i=2268,Objects/Objects/Server
(root),ServiceLevel,Variable,int,255,i=2267,Objects/Objects/Server
(root),ServerDiagnostics,Object,,,i=2274,Objects/Objects/Server
(root),ServerRedundancy,Object,,,i=2296,Objects/Objects/Server
(root),ServerStatus,Variable,string,"ServerStatusDataType(StartTime=datetime.datetime(2026, 8, 14, 6, 49, 11, 510869, tzinfo=datetime.timezone.utc), Curre...",i=2256,Objects/Objects/Server
(root),Icon,Variable,string,"b""\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00\x10\x00\x00\x00\x10\x08\x06\x00\x00\x00\x1f\xf3\xffa\x00\x00\x00\x0...",ns=3;i=5211,Objects/Objects/Server
(root),InputArguments,Variable,string,"[Argument(Name='SubscriptionId', DataType=NodeId(Identifier=7, NamespaceIndex=0, NodeIdType=<NodeIdType.TwoByte: 0>),...",i=11493,Objects/Objects/Server/GetMonitoredItems
(root),OutputArguments,Variable,string,"[Argument(Name='ServerHandles', DataType=NodeId(Identifier=7, NamespaceIndex=0, NodeIdType=<NodeIdType.TwoByte: 0>), ...",i=11494,Objects/Objects/Server/GetMonitoredItems
(root),http://opcfoundation.org/UA/,Object,,,i=15957,Objects/Objects/Server/Namespaces
(root),http://opcfoundation.org/UA/DI/,Object,,,ns=2;i=15001,Objects/Objects/Server/Namespaces
(root),http://www.siemens.com/simatic-s7-opcua,Object,,,ns=3;i=7001,Objects/Objects/Server/Namespaces
(root),DefaultAccessRestrictions,Variable,string,None,i=16136,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),DefaultRolePermissions,Variable,string,None,i=16134,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),DefaultUserRolePermissions,Variable,string,None,i=16135,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),IsNamespaceSubset,Variable,bool,True,i=15961,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),ModelVersion,Variable,string,1.5.3,i=32408,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),NamespacePublicationDate,Variable,string,2023-12-15 00:00:00+00:00,i=15960,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),NamespaceUri,Variable,string,http://opcfoundation.org/UA/,i=15958,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),NamespaceVersion,Variable,string,1.05.03,i=15959,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),StaticNodeIdTypes,Variable,string,None,i=15962,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),StaticNumericNodeIdRange,Variable,string,None,i=15963,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),StaticStringNodeIdPattern,Variable,string,None,i=15964,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
(root),DefaultAccessRestrictions,Variable,string,None,ns=2;i=15033,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),DefaultRolePermissions,Variable,string,None,ns=2;i=15031,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),DefaultUserRolePermissions,Variable,string,None,ns=2;i=15032,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),IsNamespaceSubset,Variable,bool,False,ns=2;i=15005,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),NamespacePublicationDate,Variable,string,2021-03-09 00:00:00+00:00,ns=2;i=15004,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),NamespaceUri,Variable,string,http://opcfoundation.org/UA/DI/,ns=2;i=15002,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),NamespaceVersion,Variable,string,1.03.0,ns=2;i=15003,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),StaticNodeIdTypes,Variable,string,[0],ns=2;i=15006,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),StaticNumericNodeIdRange,Variable,string,['1:2147483647'],ns=2;i=15007,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),StaticStringNodeIdPattern,Variable,string,,ns=2;i=15008,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/DI/
(root),IsNamespaceSubset,Variable,bool,False,ns=3;i=7002,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),NamespacePublicationDate,Variable,string,2024-06-02 00:00:00+00:00,ns=3;i=7003,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),NamespaceUri,Variable,string,http://www.siemens.com/simatic-s7-opcua,ns=3;i=7004,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),NamespaceVersion,Variable,string,4.0.0,ns=3;i=7005,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),StaticNodeIdTypes,Variable,string,None,ns=3;i=7006,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),StaticNumericNodeIdRange,Variable,string,None,ns=3;i=7007,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),StaticStringNodeIdPattern,Variable,string,None,ns=3;i=7008,Objects/Objects/Server/Namespaces/http://www.siemens.com/simatic-s7-opcua
(root),InputArguments,Variable,string,"[Argument(Name='SubscriptionId', DataType=NodeId(Identifier=7, NamespaceIndex=0, NodeIdType=<NodeIdType.TwoByte: 0>),...",i=12874,Objects/Objects/Server/ResendData
(root),AggregateFunctions,Object,,,i=2997,Objects/Objects/Server/ServerCapabilities
(root),LocaleIdArray,Variable,string,[],i=2271,Objects/Objects/Server/ServerCapabilities
(root),MaxArrayLength,Variable,int,131072,i=11702,Objects/Objects/Server/ServerCapabilities
(root),MaxBrowseContinuationPoints,Variable,int,5,i=2735,Objects/Objects/Server/ServerCapabilities
(root),MaxByteStringLength,Variable,int,131072,i=12911,Objects/Objects/Server/ServerCapabilities
(root),MaxHistoryContinuationPoints,Variable,int,5,i=2737,Objects/Objects/Server/ServerCapabilities
(root),MaxMonitoredItems,Variable,int,1000,i=24097,Objects/Objects/Server/ServerCapabilities
(root),MaxMonitoredItemsPerSubscription,Variable,int,0,i=24104,Objects/Objects/Server/ServerCapabilities
(root),MaxMonitoredItemsQueueSize,Variable,int,10,i=31916,Objects/Objects/Server/ServerCapabilities
(root),MaxQueryContinuationPoints,Variable,int,5,i=2736,Objects/Objects/Server/ServerCapabilities
(root),MaxSessions,Variable,int,10,i=24095,Objects/Objects/Server/ServerCapabilities
(root),MaxStringLength,Variable,int,16382,i=11703,Objects/Objects/Server/ServerCapabilities
(root),MaxSubscriptions,Variable,int,500,i=24096,Objects/Objects/Server/ServerCapabilities
(root),MaxSubscriptionsPerSession,Variable,int,50,i=24098,Objects/Objects/Server/ServerCapabilities
(root),MinSupportedSampleRate,Variable,float,1000.0,i=2272,Objects/Objects/Server/ServerCapabilities
(root),ModellingRules,Object,,,i=2996,Objects/Objects/Server/ServerCapabilities
(root),OperationLimits,Object,,,i=11704,Objects/Objects/Server/ServerCapabilities
(root),MaxInactiveLockTime,Variable,string,None,ns=2;i=6387,Objects/Objects/Server/ServerCapabilities
(root),ServerProfileArray,Variable,string,"['http://opcfoundation.org/UA-Profile/Server/EmbeddedUA2017', 'http://opcfoundation.org/UA-Profile/Server/Methods', '...",i=2269,Objects/Objects/Server/ServerCapabilities
(root),SoftwareCertificates,Variable,string,None,i=3704,Objects/Objects/Server/ServerCapabilities
(root),ExposesItsArray,Object,,,i=83,Objects/Objects/Server/ServerCapabilities/ModellingRules
(root),Mandatory,Object,,,i=78,Objects/Objects/Server/ServerCapabilities/ModellingRules
(root),Optional,Object,,,i=80,Objects/Objects/Server/ServerCapabilities/ModellingRules
(root),OptionalPlaceholder,Object,,,i=11508,Objects/Objects/Server/ServerCapabilities/ModellingRules
(root),MandatoryPlaceholder,Object,,,i=11510,Objects/Objects/Server/ServerCapabilities/ModellingRules
(root),MaxMonitoredItemsPerCall,Variable,int,1000,i=11714,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),MaxNodesPerBrowse,Variable,int,1000,i=11710,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),MaxNodesPerWrite,Variable,int,1000,i=11707,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),MaxNodesPerTranslateBrowsePathsToNodeIds,Variable,int,1000,i=11712,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),MaxNodesPerRegisterNodes,Variable,int,1000,i=11711,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),MaxNodesPerRead,Variable,int,1000,i=11705,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),MaxNodesPerMethodCall,Variable,int,1,i=11709,Objects/Objects/Server/ServerCapabilities/OperationLimits
(root),EnabledFlag,Variable,bool,True,i=2294,Objects/Objects/Server/ServerDiagnostics
(root),ServerDiagnosticsSummary,Variable,string,"ServerDiagnosticsSummaryDataType(ServerViewCount=0, CurrentSessionCount=3, CumulatedSessionCount=3, SecurityRejectedS...",i=2275,Objects/Objects/Server/ServerDiagnostics
(root),SessionsDiagnosticsSummary,Object,,,i=3706,Objects/Objects/Server/ServerDiagnostics
